,review,polarity
0,가성비 좋은 선풍 추천합니다.,긍정
1,비싼 돈 주고 구매한건데,부정
2,무선이라 편리하지만 손잡이가 없는 건 꽤 불편해요,중립
3,실외기 소음이 좀 심해서 별로고,부정
4,품질에비해 가격도 비싸고 너무 과장된 광고입니다.,부정
5,기름잔량 표시가 없어서 기름 보충할때마다 손에 기름이 묻으니 참  불편하네요.. ,부정
6,무게도 왜이렇게 무거운지 물통 빼고도 무겁네요. ㅜ 안 좋아요. ,부정
7,거기다 용량도 작아서 물을 자주 비워줘야하는 번거로움이 있어요.,부정
8,바람세기도 부드럽고 편안한 느낌이라 좋아요.. ,긍정
9,풍량이 낮아도 바람이 은은하게 나오니  좋네요~~,긍정
10,가격도저렴하고,긍정
11,소리 전혀 안시끄럽네요 신경쓰일 정도가 아니네요~,긍정
12,제품 높이 조절하는 부분이 부드럽지 않아서 조작하는데 고생해서 불만족스럽네요.. ,부정
13,생각한 것보다 조용하네요~^^,긍정
14,겨울철 성수기라 제품 가격이 갑자기 올라서 비싸게 구입했어요. ㅜ 슬프네요. ,부정
15,역시 00은 최고네요.,긍정
16,무거워서 들때 힘을 많이 써야해서 조금 힘들어요.,부정
17,제품 성능도 탁월해서 집이 금새 따뜻해져서 만족합니다. ,긍정
18,마트는 이제품 품절이여서 온라인 최적가로 득템했어요.. ㅎㅎ 기분 너무 좋네요.. ,긍정
19, 다만 물통 비울때 내부에 물이 흥건하게 흘러서 불편하네요ㅜ,부정
20,제품 구동하는데 소음이 있어서 새벽이나 밤에는 사용할수가 없어 안타깝습니다,부정
21,제조일도 받고 보니 작년이라 아쉽네요,부정
22,아이보리 색상 원했는데 센스있게 딱 맞춰 보내주셨어요.ㅋ,긍정
23,꼭 원했던 아이보리 색상으로 배송받아서 너무 좋습니다. ^^  ,긍정
24,리모컨 사용 안하고 터치로 할땐 잘안되서 별 반개 뺐어요.,부정
25,그리고 제습이 잘 되고 있는지 잘 모르겠네요 ,부정
26,가격도 저렴하고,긍정
27,새제품 손잡이 쪽이 고장이라 황당하고 기분 안좋았어요.. ,부정
28,2주 사용중인데 소음이 거의 없고 굉장히 조용해요.,긍정
29,물통청소도 간편하고 연속배수호스도 사용하기 편해서 만족합니다.,긍정
30,소재도 고급스러운 느낌은 없어서 아쉽네요,부정
31,기존 큰 용량 제품 사용하다가 이번에 작은 걸로 바꿨는데 확실히 물통을 자주 비워야 하는 점이 번거롭기 하네요.. ㅜ 안 좋아요. ,부정
32,손잡이가 있으니 이동 편리하고 물버리는것도 쉬워요. ,긍정
33,가격은 저렴한 느낌보다는 적당한 느낌.,중립
34,"화면보다 실물 사이즈가 훨씬 커서 깜짝 놀랐고, 좀 아쉬워요 ㅜ ",부정
35,후기처럼 제품 성능이 정말 너무 좋아서 만족합니다.너무 따뜻해졌어요^^,긍정
36,성능은 두말 할 것 없이 좋아요 빨래가 잘 말라요,긍정
37,제품구성에 리모컨이 불포함되어 있어서 불편하고 불만족스럽네요.. ,부정
38,근데 제품이 생각보다 많이 부실해요 ,부정
39,가장 단점은 타이머가 없어요 ,부정
40,또 배터리 성능이 3-4단으로 낮게 사용하는데도  3시간쯤 되면 방전돼서 많이 실망스러워요 ㅜ 안좋네요.,부정
41,약풍에서 나오는 바람이 마냥 쎄지 않고 부드러운 느낌이라서 마음에 듭니다.. ,긍정
42,조용하고 좋아요,긍정
43,가성비 굿입니다,긍정
44,예쁜 디자인 너무 맘에 드네요.,긍정
45,빨래도 보송하게 잘 마르고 습기도 완벽하게 제거되니 제습력이 정말 좋아요!! ,긍정
46,조금시끄럽네요 ,부정
47,!+!구성이라 가격젹으로 저렴하게 구입해서 좋았어요,긍정
48,실내에서 사용해보니 기름냄새가 많이 나서 머리가 어지럽네요. ㅜ,부정
49,충전하는 속도도 느려서 아쉬워요ㅜ,부정
50,아쉬운점은 제품구성에 캠핌용 수납 가방이 없어 추가로 구입해야 할 것 같아요.,부정
51,따뜻한 바람 금방 나오고 성능면에선 좋아요~~~,긍정
52,20평대 용량도 딱 알맞아 너무 잘 샀어요,긍정
53,화이트 컬러로 구매했는데 깔끔해서 예뻐요.,긍정
54,특히 실외기가 정말 조용하게 돌아가네요 완전 맘에 들어요~^^,긍정
55, 적립금 이벤트도 있어서 좋아요ㅋㅋㅋ,긍정
56, 물통 용량도 커서 자주 안비워도 되서 좋아요 ㅎ,긍정
57,소음이 있어서 수면시에는 사용하기 어려워서 별로예요 ,부정
58,사용해보니 각도조절이 되지 않는점이 좀 불편하고 아쉬워요.ㅜ  ,부정
59,소음은 좀 있는편이라 켜두고 자긴 힘들것 같다는게 유일한 단점 ,부정
60,소리가...선풍기 보다 큽니다...ㅠㅠ,부정
61,디자인 만족합니다,긍정
62, 반품 하고 싶은데 그러지도 못하고 너무 고역임니다 70만원 너무너무 아까와요,부정
63,소음이  너무커서 잘때는  못켜놓겠어요,부정
64,제품이 너무 예쁘고,긍정
65,제품상태는 하자도 없고 양품입니다,긍정
66,받침이 부실해서 아이들이 좀만 쳐도 잘 넘어짐. ,부정
67,사이즈가 작아서 공간차지가 없어서 좋고,긍정
68,제품성능은 문제는 없는데,중립
69,예상보다  엄청 사이즈가 큽니다. ㅜ 아쉬워요. ,부정
70,다만 소음이 좀 있어서 시끄럽네요.,부정
71,바람은 부드러운데 다른 선풍기보다 시원함은 덜하네요,중립
72,사용해보니 소음이 넘 적어서 만족해요ㅎㅎ,긍정
73,수동이라 불편하네요,중립
74,가격이 너무 고가여서 많이 고민하고 구매했어요...,부정
75,그래도 비 오는 날에도 빨래가 뽀송뽀송하게 말라서 너무 좋아요. ,긍정
76,사이즈도 커서 장마철에 매일 사용하기 좋아요~,긍정
77,소음이 조금 있네요~ 신경 쓰입니다... ,부정
78,돌아가는 소리도 조용해서 맘에 들어요,긍정
79,가격이 착해서 아주 마음에 듭니다~,긍정
80,생각했던 것 보다 소음이 좀 커서 외출시에만 틀어놓게 되는 점은 아쉽네요.,부정
81,다만 타사 동종제품에 비해 가격이 비싼 편이라 부담되고 안좋아요.. ,부정
82,작동중에 갑자기 소리가 더 커져서 시끄러워요. ㅜ 밤에는 절대 사용 불가. 화나네요.ㅜ ,부정
83,크기가 작아서 조금 불편하네요,부정
84,마감도 허접하고 튼튼하지도 않고 맘에 안들어요,부정
85,제품 안쪽에 작은 플라스틱 조각이 부러져 있어 먼가 찝찝합니다,부정
86,사이즈도 생각했던 크기보다  작아서 실망이예요ㅠ,부정
87,무게는 상당합니다.. 들었는데 너무 무겁네요,부정
88,빨래방에서 가동시킨지 2시간만에 물통에 물이 제법 차올라 신기했어요.. 성능 좋네요. ^^ ,긍정
89, 전력소비량도 낮으면서도 제습효율이 높아서 빨래가 잘 말라서 만족하며 사용중입니다~,긍정
90,헐 ! !  소음  장난아니네요. 회사에있는  대형에어컨보다   소음이  더크다니,부정
91,제습도 굉장히 빠르게 작동되서 너무 좋구요. ,긍정
92,써큘레이터라 하지만 선풍기보다도  약합니다.,부정
93,작동도 잘되고 제습기능도 좋아서 쾌적해요~ ,긍정
94,환풍기 돌아가는 소리는 없네요 ^^  ,긍정
95,사용하기 굉장히 편리하게 만들어져서 넘 좋아요. ,긍정
96,색상도 예뻐서 진짜 맘에 들어요^^,긍정
97,제품 가격은 좀 비싼편이지만 제품이 워낙 좋아 괜찮습니다. 굿~ ,중립
98,전원작동시 소음도 적고요^^ 굿굿,긍정
99,디자인이 세련되고 예뻐서 좋아요. ,긍정
100,제품 저렴한 가격으로 좋은 제품 구입해서 나이스~!,긍정
101,또 배터리가 완충해도 3시간을 넘기지 못하고 방전되어 당황스럽고 실망이에요. ㅜ,부정
102,소음은 있지만 제습기 특성상 그냥 쓸만해요. ,중립
103,가격이 한두푼도 아니고 비싼데 속상해요ㅠ,부정
104,"가격도 저렴하게 잘 구매했고, ",긍정
105, 소리도 요란하더라니 아주 빗좋은 개살구네요,부정
106,사진에서 봤던 색상이 아니라서 실망입니다. 촌스러운 분홍색이에요...,부정
107,전기사용량도 크지 않은데 쉽게 훈훈해지니 만족스럽네요,긍정
108,소음은 거의 없어서 조용하고 좋아요~ ,긍정
109,무심코 지나쳤는데 제품 후면이 심하게 찌그러져 있네요 정말 속상합니다,부정
110,물통 용량이 진짜 10리터는 아니라서 실망했습니다..ㅠㅠ ,부정
111,제품 사이즈는 작지만 열량이 우수해 만족합니다. ,긍정
112, 근데 물통이 넘 금방금방 차서 용량 작은게 아쉬워요,부정
113,물통이 대용량이라 물버리는 수고로움이 줄어서 기분 좋네요.. ,긍정
114,"배터리잔량알림기능,이중날개 등 성능이 다양해서 만족해요~~~",긍정
115,발터치가 되니 더욱 편리하게 사용할수 있어서 좋아요,긍정
116,설명이 없어 제품을 받고도  설치 못하고 다시브라켓신청 오늘에서야  브라켓받아 설치했어요. ㅠㅠㅠ,부정
117, 틀자마자 소음이크고,부정
118,어플도 연동하니 리모콘처럼 사용 할 수 있어 편리하고 좋아요,긍정
119,계속 틀고 싶지만 에너지효율 3등급이라 아쉽습니다. ,부정
120,14인치 발터치 상품 밑부분이 너트와 결합할수있는 형태가 아닙니다.  불량인 것 같네요 ,부정
121,"이동식,,아닙니다!! 불편해요",부정
122,설치후 창틀사이 테이프나 다른걸로 막아야하는 번거러움,부정
123,다만 풍력 3단계까진 타사제품 대비 좀 바람세기가 약해서 아쉽네요. ㅜ ,부정
124,이전 사용하던 제품과 호환되지 않아 설치가 어렵고 힘들었지만,부정
125,디자인은예쁜데,긍정
126,너무 무거워서 여자 혼자 들기에는 무리가 있네요. ,부정
127,부담없는 가격이 좋고,긍정
128,헐 대박  바람도 좋고,긍정
129,타이머도 없고  여러모로 불편하네요.,부정
130,"텐트안에서 정말 잘 사용하고 있는데요, 1단 온도에만 맞춰놔도 생각보다 많이 따뜻해서 덥네요~ ",긍정
131,물통 용량도 6리터라 넉넉해서 좋네요!,긍정
132,설명서 보고 혼자 쉽게 설치해서 잘쓰고 있어요.. ㅎㅎ굿~,긍정
133,소리도 좀 크네요.,부정
134,미풍 초미풍이 딱 적당한듯 합니다,중립
135,작동후 얼마지나지않아 금방 따뜻해져서 너무너무 좋습니다^^,긍정
136,"조그만 거 하나에, 목 부분 부품을 하나 엿결해서 높이를 높일수 있는거든군요.. 실망했어요.",부정
137,저렴해서ㅠ샀더니....괜히샀어요....,부정
